CountryOther,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-03-2020,05-04-2020,05-05-2020
Singapore,2373,2373,2373,2373,2373,2699,5279,5213,9269,9269,10394,11092,11505,11942,11742,12051,11617,10764,10285
Slovakia,472,472,472,472,472,463,676,639,624,645,645,637,612,528,419,354,247,240,222
Slovenia,406,406,406,406,406,407,333,314,242,213,200,202,195,170,161,130,109,104,105
Somalia,57,57,57,57,57,75,157,230,316,307,369,411,455,502,521,485,558,519,549
Spain,78124,78124,78124,78124,78124,75497,65185,65178,60578,62742,57912,43045,41399,32843,28961,26638,26303,23496,22187
Sudan,25,25,25,25,25,25,54,80,148,159,194,218,246,343,410,410,612,586,671
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,7010,7010,7010,7010,7010,6980,7555,7571,7614,7882,8026,8157,7978,8375,8552,8304,7932,7944,7894
Switzerland,9645,9645,9645,9645,9645,9266,6636,6252,4919,4367,3991,3758,3582,2988,2852,2625,2164,2072,1945
Syria,19,19,19,19,19,23,20,20,23,23,17,18,18,10,10,6,5,5,2
Thailand,992,992,992,992,992,901,545,534,366,336,371,343,325,282,260,260,204,195,177
Togo,43,43,43,43,43,45,40,26,15,14,20,22,22,28,35,40,40,42,42
Tunisia,385,385,385,385,385,386,326,310,275,251,254,242,241,200,172,134,134,134,121
Turkey,51580,51580,51580,51580,51580,53713,59237,60763,59508,57883,55606,53174,51212,48197,46011,43846,39739,36679,33900
Uganda,11,11,11,11,11,11,3,4,21,22,22,25,25,26,28,30,34,41,40
Ukraine,2823,2823,2823,2823,2823,3367,4459,4806,5755,5922,6106,6232,5907,5705,5404,6305,6203,6206,6105
Uruguay,195,195,195,195,195,201,186,187,124,117,143,141,148,137,141,140,127,122,127
Uzbekistan,992,992,992,992,992,1115,1223,1260,1196,1212,1069,1022,906,700,666,644,584,532,515
Venezuela,58,58,58,58,58,54,108,97,127,143,148,144,140,134,129,108,101,105,82
Vietnam,45,45,45,45,45,40,35,31,13,14,10,6,3,2,2,2,3,3,3
Yemen,1,1,1,1,1,1,1,1,0,0,0,0,0,5,5,6,9,11,20
Zambia,10,10,10,10,10,12,22,26,37,44,44,45,44,49,58,57,63,72,74
Zimbabwe,9,9,9,9,9,15,16,16,18,18,17,17,15,17,16,10,9,9,6
