,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
71,FrenchGuiana,128,0,1,0,98,29,2,429,3,0,0
72,FrenchPolynesia,58,0,0,0,51,7,1,206,0,2599,9252
73,Gabon,335,59,5,2,85,245,1,151,2,724,325
74,Gambia,17,5,1,0,9,7,0,7,0.4,401,166
75,Georgia,582,16,8,1,207,367,6,146,2,15904,3987
76,Germany,164967,890,6812,76,129000,29155,2105,1969,81,2547052,30400
77,Ghana,2169,95,18,1,229,1922,4,70,0.6,113497,3653
78,Gibraltar,144,0,0,0,132,12,0,4274,0,2711,80467
79,Greece,2620,8,143,3,1374,1103,37,251,14,78207,7503
80,Greenland,11,0,0,0,11,0,0,194,0,1271,22389
81,Grenada,21,1,0,0,13,8,4,187,0,1406,12495
82,Guadeloupe,152,0,12,0,95,45,6,380,30,0,0
83,Guatemala,644,45,16,0,72,556,5,36,0.9,7200,402
84,Guinea,1586,49,7,0,405,1174,0,121,0.5,0,0
85,Guinea-Bissau,257,0,1,0,19,237,0,131,0.5,1500,762
86,Guyana,82,0,9,0,22,51,2,104,11,579,736
87,Haiti,85,0,8,0,10,67,0,7,0.7,848,74
88,Honduras,899,95,75,0,112,712,10,91,8,3643,368
89,HongKong,1040,0,4,0,864,172,4,139,0.5,154989,20674
90,Hungary,2942,79,335,12,625,1982,52,305,35,79551,8235
91,Iceland,1798,0,10,0,1706,82,0,5269,29,50002,146529
92,India,39699,2442,1323,100,10819,27557,0,29,1.0,976363,708
93,Indonesia,10843,292,831,31,1665,8347,0,40,3,107943,395
94,Iran,96448,802,6156,65,77350,12942,2787,1148,73,484541,5769
95,Iraq,2219,66,95,1,1473,651,0,55,2,98253,2443
96,Ireland,21176,343,1286,21,13386,6504,99,4289,260,169377,34302
97,IsleofMan,320,4,22,0,271,27,21,3763,259,3242,38126
98,Israel,16185,84,229,4,9593,6363,105,1870,26,390022,45060
99,Italy,209328,1900,28710,474,79914,100704,1539,3462,475,2108837,34879
100,IvoryCoast,1362,29,15,0,622,725,0,52,0.6,10508,398
101,Jamaica,432,10,8,0,31,393,1,146,3,4779,1614
102,Japan,14305,0,455,0,2975,10875,328,113,4,174150,1377
103,Jordan,460,1,9,1,367,84,5,45,0.9,82092,8046
104,Kazakhstan,3857,260,25,0,985,2847,41,205,1,282862,15065
105,Kenya,435,24,22,1,152,261,2,8,0.4,21702,404
106,Kuwait,4619,242,33,3,1703,2883,69,1082,8,179000,41915
107,Kyrgyzstan,769,13,8,0,527,234,12,118,1,51472,7889
108,Laos,19,0,0,0,9,10,0,3,0,2165,298
109,Latvia,871,1,16,0,348,507,2,462,8,63102,33455
110,Lebanon,733,4,25,1,197,511,43,107,4,37880,5550
111,Liberia,152,0,18,0,45,89,0,30,4,0,0
112,Libya,63,0,3,0,22,38,0,9,0.4,2155,314
113,Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23605
114,Lithuania,1406,7,46,1,632,728,17,516,17,138270,50792
115,Luxembourg,3812,10,92,0,3318,402,23,6090,147,47460,75817
116,MSZaandam,9,0,2,0,0,7,0,0,0,0,0
117,Macao,45,0,0,0,37,8,1,69,0,0,0
118,Madagascar,135,3,0,0,97,38,1,5,0,3393,123
119,Malawi,38,1,3,0,9,26,1,2,0.2,831,43
120,Malaysia,6176,105,103,0,4326,1747,31,191,3,184213,5692
121,Maldives,519,28,1,0,18,500,2,960,2,8008,14815
122,Mali,544,36,26,0,206,312,0,27,1,2172,107
123,Malta,468,1,4,0,379,85,1,1060,9,35117,79532
124,Martinique,179,0,14,0,83,82,5,477,37,0,0
125,Mauritania,8,0,1,0,6,1,0,2,0.2,1032,222
126,Mauritius,332,0,10,0,314,8,3,261,8,16028,12603
127,Mayotte,539,0,4,0,235,300,4,1976,15,3000,10996
128,Mexico,20739,1515,1972,113,12377,6390,378,161,15,91188,707
129,Moldova,4052,72,124,2,1334,2594,237,1004,31,11763,2916
130,Monaco,95,0,4,0,73,18,1,2421,102,0,0
131,Mongolia,39,1,0,0,10,29,0,12,0,8022,2447
132,Montenegro,322,0,8,1,245,69,2,513,13,6864,10929
133,Montserrat,11,0,1,0,2,8,1,2204,200,36,7212
134,Morocco,4729,160,173,2,1256,3300,1,128,5,39367,1067
135,Mozambique,79,0,0,0,18,61,0,3,0,2337,75
136,Myanmar,151,0,6,0,37,108,0,3,0.1,8281,152
137,Namibia,16,0,0,0,8,8,0,6,0,704,277
138,Nepal,59,0,0,0,16,43,0,2,0,61627,2115
139,Netherlands,40236,445,4987,94,0,34999,708,2348,291,225899,13184
140,NewCaledonia,18,0,0,0,17,1,1,63,0,4947,17328
141,NewZealand,1485,6,20,1,1263,202,0,308,4,145589,30191
142,Nicaragua,14,0,3,0,7,4,0,2,0.5,0,0
143,Niger,736,8,35,2,507,194,0,30,1,5271,218
144,Nigeria,2388,218,85,17,351,1952,2,12,0.4,16588,80
