CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
Portugal,"25,702",+178,"1,074 ",+11,"1,743","22,885",134,"2,521",105,"450,000","44,132"
Mexico,"24,905","+1,434","2,271 ",+117,"15,938","6,696",378,193,18,"100,041",776
Sweden,"23,216",+495,"2,854 ",+85,"4,074","16,288",435,"2,299",283,"148,500","14,704"
Pakistan,"22,048","+1,107",514 ,+38,"5,801","15,733",111,100,2,"222,404","1,007"
Chile,"22,016","+1,373",275 ,+5,"10,710","11,031",470,"1,152",14,"222,095","11,618"
Ireland,"21,772",,"1,319 ",,"13,386","7,067",93,"4,409",267,"169,377","34,302"
Singapore,"19,410",+632,18 ,,"1,519","17,873",24,"3,318",3,"143,919","24,600"
Belarus,"18,350",+861,107 ,+4,"3,771","14,472",92,"1,942",11,"211,369","22,369"
Qatar,"17,142",+951,12 ,,"1,924","15,206",72,"5,950",4,"109,762","38,098"
Israel,"16,268",+22,237 ,+2,"10,223","5,808",89,"1,879",27,"414,349","47,871"
Austria,"15,650",+29,606 ,+6,"13,462","1,582",104,"1,738",67,"285,883","31,742"
UAE,"15,192",+462,146 ,+9,"3,153","11,893",1,"1,536",15,"1,200,000","121,330"
Japan,"15,078",,536 ,,"4,156","10,386",328,119,4,"184,586","1,459"
Poland,"14,431",+425,716 ,+18,"4,280","9,435",160,381,19,"394,270","10,418"
Romania,"13,837",+325,841 ,+23,"5,454","7,542",244,719,44,"205,842","10,700"
Ukraine,"12,697",+366,316 ,+13,"1,875","10,506",167,290,7,"139,759","3,196"
Indonesia,"12,071",+484,872 ,+8,"2,197","9,002",,44,3,"121,547",444
Bangladesh,"10,929",+786,183 ,+1,"1,403","9,343",1,66,1,"93,405",567
S. Korea,"10,804",+3,254 ,+2,"9,283","1,267",55,211,5,"640,237","12,488"
Denmark,"9,821",+151,503 ,+10,"7,296","2,022",49,"1,696",87,"257,738","44,497"
Philippines,"9,684",+199,637 ,+14,"1,408","7,639",31,88,6,"130,889","1,194"
Serbia,"9,677",+120,200 ,+3,"1,723","7,754",51,"1,108",23,"111,278","12,736"
Dominican Republic,"8,480",+245,354 ,+8,"1,905","6,221",144,782,33,"33,377","3,077"
,Oceania,,"8,437",+23,116,+1,"7,283","1,038",29,,
Colombia,"7,973",,358 ,,"1,807","5,808",120,157,7,"123,029","2,418"
Norway,"7,928",+24,215 ,+1,32,"7,681",27,"1,462",40,"189,657","34,984"
Czechia,"7,878",+59,254 ,+2,"3,999","3,625",59,736,24,"269,093","25,128"
Panama,"7,387",+190,203 ,+3,726,"6,458",93,"1,712",47,"35,556","8,241"
South Africa,"7,220",,138 ,,"2,746","4,336",36,122,2,"257,541","4,342"
Egypt,"7,201",+388,452 ,+16,"1,730","5,019",,70,4,"90,000",879
Australia,"6,849",+24,96 ,+1,"5,889",864,27,269,4,"664,756","26,069"
Malaysia,"6,383",+30,106 ,+1,"4,567","1,710",24,197,3,"213,220","6,588"
Kuwait,"5,804",+526,40 ,,"2,032","3,732",90,"1,359",9,"196,397","45,988"
Finland,"5,412",+85,246 ,+6,"3,500","1,666",48,977,44,"106,300","19,185"
Morocco,"5,219",+166,181 ,+2,"1,838","3,200",1,141,5,"47,837","1,296"
Argentina,"4,887",,260 ,,"1,442","3,185",157,108,6,"67,920","1,503"
Algeria,"4,838",+190,470 ,+5,"2,067","2,301",22,110,11,"6,500",148
Moldova,"4,363",+115,136 ,+4,"1,544","2,683",237,"1,082",34,"20,447","5,069"
Kazakhstan,"4,179",+130,29 ,,"1,264","2,886",40,223,2,"320,411","17,064"
Luxembourg,"3,828",,96 ,,"3,405",327,21,"6,115",153,"48,339","77,222"
Bahrain,"3,679",+146,8 ,,"1,762","1,909",1,"2,162",5,"149,586","87,910"
Afghanistan,"3,224",+330,95 ,+5,421,"2,708",7,83,2,"13,076",336
Hungary,"3,065",+30,363 ,+12,709,"1,993",55,317,38,"85,557","8,857"
Thailand,"2,988",+1,54 ,,"2,747",187,61,43,0.8,"227,860","3,264"
Nigeria,"2,802",,93 ,,417,"2,292",4,14,0.5,"19,512",95
Oman,"2,735",+98,12 ,,858,"1,865",17,536,2,"40,459","7,923"
Ghana,"2,719",,18 ,,294,"2,407",4,88,0.6,"129,461","4,166"
Greece,"2,642",+10,146 ,,"1,374","1,122",35,253,14,"83,750","8,035"
Armenia,"2,619",+112,40 ,+1,"1,111","1,468",10,884,13,"25,846","8,722"
Iraq,"2,346",,98 ,,"1,544",704,,58,2,"107,586","2,675"
Uzbekistan,"2,204",+15,10 ,,"1,501",693,8,66,0.3,"325,000","9,710"
Croatia,"2,112",+11,83  ,+3,"1,560",469,14,514,20,"39,973","9,737"
Cameroon,"2,104",,64 ,,953,"1,087",12,79,2,,
Azerbaijan,"2,060",+76,26 ,,"1,508",526,18,203,3,"164,481","16,222"
Bosnia and Herzegovina,"1,946",+20,79 ,+1,911,956,4,593,24,"35,296","10,758"
Iceland,"1,799",,10 ,,"1,733",56,,"5,272",29,"51,345","150,465"
Estonia,"1,711",+8,55 ,,261,"1,395",6,"1,290",41,"57,423","43,288"
Guinea,"1,710",,9 ,,450,"1,251",,130,0.7,,
Bulgaria,"1,704",+52,80 ,+2,342,"1,282",37,245,12,"50,303","7,239"
Bolivia,"1,681",+87,82 ,+6,174,"1,425",3,144,7,"7,651",655
Cuba,"1,668",,69 ,,876,723,9,147,6,"55,542","4,904"
North Macedonia,"1,526",+8,86 ,+1,"1,013",427,21,732,41,"17,359","8,332"
New Zealand,"1,486",,20 ,,"1,302",164,,308,4,"155,928","32,335"
Slovenia,"1,445",+6,98 ,+1,244,"1,103",17,695,47,"57,504","27,660"
Ivory Coast,"1,432",,17 ,,693,722,,54,0.6,"10,778",409
Lithuania,"1,423",+4,46 ,,678,699,17,523,17,"149,106","54,772"
Slovakia,"1,421",+8,25 ,,741,655,6,260,5,"99,864","18,291"
Senegal,"1,329",+58,11 ,+1,470,848,6,79,0.7,"17,787","1,062"
Honduras,"1,178",+123,83 ,+1,122,973,10,119,8,"5,243",529
Djibouti,"1,116",,2 ,,713,401,,"1,130",2,"14,222","14,395"
Hong Kong,"1,041",,4 ,,920,117,1,139,0.5,"154,989","20,674"
Tunisia,"1,018",,43 ,,406,569,18,86,4,"24,853","2,103"
Latvia,896,,17  ,+1,348,531,4,475,9,"66,150","35,071"
Cyprus,878,+4,15 ,,296,567,15,727,12,"65,725","54,437"
Kyrgyzstan,843,+13,11 ,+1,600,232,13,129,2,"56,488","8,658"
Somalia,835,+79,38 ,+3,75,722,2,53,2,,
Albania,820,+17,31 ,,570,219,7,285,11,"9,276","3,223"
Sudan,778,+100,45 ,+4,70,663,,18,1,,
Sri Lanka,762,+11,9 ,+1,213,540,1,36,0.4,"26,842","1,254"
Niger,755,,37 ,,534,184,,31,2,"5,309",219
Andorra,750,,45 ,,499,206,16,"9,707",582,"1,673","21,653"
Costa Rica,742,,6 ,,399,337,5,146,1,"13,988","2,746"
Lebanon,741,+1,25 ,,206,510,43,109,4,"42,009","6,155"
Guatemala,730,+27,19 ,+2,79,632,5,41,1,"7,200",402
,,,721,,15,,645,61,4,,
Diamond Princess,712,,13 ,,645,54,4,,,,
DRC,705,+23,34 ,,90,581,,8,0.4,,
Mayotte,686,,6 ,,352,328,6,"2,515",22,"3,400","12,463"
Burkina Faso,672,,46 ,,545,81,,32,2,,
Uruguay,657,,17 ,,447,193,10,189,5,"22,805","6,565"
Mali,612,+32,32 ,+3,228,352,,30,2,"2,172",107
Georgia,604,+11,9 ,,240,355,6,151,2,"20,579","5,159"
San Marino,589,+7,41 ,,92,456,5,"17,359","1,208","2,538","74,799"
El Salvador,587,+32,13 ,,201,373,3,90,2,"30,387","4,685"
Maldives,557,+16,1 ,,17,539,2,"1,030",2,"8,327","15,405"
Channel Islands,544,,41 ,,406,97,,"3,129",236,"5,342","30,725"
Kenya,535,+45,24 ,,182,329,2,10,0.4,"24,784",461
Malta,482,+2,5 ,+1,403,74,1,"1,092",11,"36,945","83,672"
Tanzania,480,,16 ,,167,297,7,8,0.3,,
Jamaica,471,+2,9 ,,49,413,2,159,3,"5,633","1,902"
Jordan,471,+6,9 ,,375,87,5,46,0.9,"87,618","8,587"
Taiwan,438,,6 ,,334,98,,18,0.3,"64,958","2,727"
Réunion,424,, ,,300,124,2,474,,,
Paraguay,415,+19,10 ,,130,275,7,58,1,"10,766","1,509"
Guinea-Bissau,413,,1 ,,19,393,,210,0.5,"1,500",762
Gabon,367,,6 ,,93,268,1,165,3,724,325
Palestine,366,+4,2 ,,127,237,,72,0.4,"32,200","6,312"
Venezuela,361,+4,10 ,,158,193,1,13,0.4,"482,953","16,984"
Mauritius,332,,10 ,,319,3,3,261,8,"18,959","14,908"
Isle of Man,325,,23 ,,271,31,21,"3,822",270,"3,401","39,996"
Montenegro,324,+1,8 ,,253,63,2,516,13,"7,816","12,445"
Equatorial Guinea,315,,3 ,,13,299,,225,2,854,609
Tajikistan,293,+63,5 ,+2,,288,,31,0.5,,
Vietnam,271,, ,,232,39,8,3,,"261,004","2,681"
Rwanda,261,, ,,128,133,,20,,"35,096","2,710"
Congo,236,,10 ,,26,200,,43,2,,
Sierra Leone,199,+21,11 ,+2,43,145,,25,1,,
Faeroe Islands,187,, ,,185,2,,"3,827",,"8,157","166,936"
Cabo Verde,186,+11,2 ,,37,147,,335,4,791,"1,423"
Martinique,181,,14 ,,83,84,5,482,37,,
Liberia,166,,18 ,,58,90,,33,4,,
Myanmar,161,,6 ,,49,106,,3,0.1,"9,037",166
Guadeloupe,152,,12 ,,98,42,5,380,30,,
Madagascar,151,+2, ,,101,50,1,5,,"3,861",139
Ethiopia,145,+5,4 ,+1,91,50,,1,0.03,"25,135",219
Gibraltar,144,, ,,133,11,,"4,274",,"2,931","86,997"
Brunei ,138,,1 ,,131,6,2,315,2,"14,610","33,396"
Zambia,137,,3 ,,78,56,1,7,0.2,"7,277",396
French Guiana,133,,1 ,,100,32,2,445,3,,
Togo,128,+2,9 ,,74,45,,15,1,"7,896",954
Cambodia,122,, ,,120,2,1,7,,"12,461",745
Eswatini,119,+3,1 ,,12,106,,103,0.9,714,615
Chad,117,,10 ,,39,68,,7,0.6,,
Trinidad and Tobago,116,,8 ,,102,6,,83,6,"2,055","1,468"
Bermuda,115,,7 ,,54,54,4,"1,847",112,"3,270","52,507"
Haiti,100,,11 ,,10,79,,9,1.0,"1,026",90
Aruba,100,,2 ,,81,17,4,937,19,"1,758","16,466"
Uganda,97,, ,,55,42,,2,,"41,478",907
Benin,96,,2 ,,50,44,,8,0.2,,
Monaco,95,,4 ,,78,13,1,"2,421",102,,
Guyana,92,,9 ,,27,56,3,117,11,579,736
CAR,85,, ,,10,75,,18,,"3,498",724
Bahamas,83,,11 ,,25,47,1,211,28,"1,391","3,537"
Barbados,82,,7 ,,46,29,4,285,24,"2,458","8,553"
Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,605"
Nepal,82,+7, ,,16,66,,3,,"64,492","2,213"
Mozambique,80,, ,,19,61,,3,,"2,466",79
Sint Maarten,76,,13 ,,44,19,7,"1,773",303,329,"7,673"
Cayman Islands,75,,1 ,,14,60,3,"1,141",15,"2,528","38,465"
Libya,63,,3 ,,23,37,,9,0.4,"2,338",340
French Polynesia,58,, ,,53,5,1,206,,"2,665","9,487"
South Sudan,52,+6, ,,,52,,5,,"1,247",111
Macao,45,, ,,39,6,1,69,,,
Syria,44,,3 ,,27,14,,3,0.2,,
Malawi,41,,3 ,,9,29,1,2,0.2,907,47
Mongolia,41,+1, ,,13,28,,13,,"8,889","2,711"
Eritrea,39,, ,,26,13,,11,,,
Saint Martin,38,,3 ,,29,6,1,983,78,,
Angola,35,,2 ,,11,22,,1,0.06,"3,000",91
Zimbabwe,34,,4 ,,5,25,,2,0.3,"7,642",514
Antigua and Barbuda,25,,3 ,,16,6,1,255,31,153,"1,562"
Timor-Leste,24,, ,,20,4,,18,,664,504
Sao Tome and Principe,23,,3 ,,4,16,,105,14,175,799
Botswana,23,,1 ,,8,14,,10,0.4,"8,636","3,672"
Yemen,21,+9,3 ,+1,1,17,,0.7,0.1,120,4
Grenada,21,, ,,13,8,4,187,,"1,406","12,495"
Laos,19,, ,,9,10,,3,,"2,418",332
Belize,18,,2 ,,14,2,1,45,5,"1,043","2,623"
Fiji,18,, ,,14,4,,20,,"1,007","1,123"
New Caledonia,18,, ,,17,1,1,63,,"5,052","17,695"
Saint Lucia,18,, ,,15,3,,98,,446,"2,429"
Gambia,17,,1 ,,9,7,,7,0.4,401,166
St. Vincent Grenadines,17,, ,,9,8,,153,,137,"1,235"
Curaçao,16,,1 ,,13,2,,98,6,351,"2,139"
Dominica,16,, ,,13,3,,222,,383,"5,320"
Namibia,16,, ,,8,8,,6,,"1,122",442
Nicaragua,15,,5 ,,7,3,,2,0.8,,
Burundi,15,,1 ,,7,7,,1,0.08,284,24
Saint Kitts and Nevis,15,, ,,8,7,,282,,294,"5,526"
Falkland Islands,13,, ,,13,0,,"3,736",,388,"111,494"
Turks and Caicos,12,,1 ,,6,5,,310,26,107,"2,764"
Montserrat,11,,1 ,,7,3,1,"2,204",200,36,"7,212"
Greenland,11,, ,,11,0,,194,,"1,332","23,463"
Vatican City,11,, ,,2,9,,"13,733",,,
Seychelles,11,, ,,6,5,,112,,,
Suriname,10,,1 ,,9,0,,17,2,404,689
MS Zaandam,9,,2 ,,,7,,,,,
Mauritania,8,,1 ,,6,1,,2,0.2,"1,032",222
Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",268
Bhutan,7,, ,,5,2,,9,,"11,015","14,275"
British Virgin Islands,6,,1 ,,3,2,,198,33,,
Caribbean Netherlands,6,, ,,,6,,229,,110,"4,195"
St. Barth,6,, ,,6,0,,607,,,
Western Sahara,6,, ,,5,1,,10,,,
Anguilla,3,, ,,3,0,,200,,,
Comoros,3,, ,,,3,,3,,,
Saint Pierre Miquelon,1,, ,,,1,,173,,,
