CountryOther,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-03-2020,05-04-2020,05-05-2020
Senegal,2,2,2,2,2,2,5,5,7,7,8,9,9,9,9,9,10,11,12
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,10,10,10,10,10,10,11,11,12,12,12,12,14,14,15,17,18,18,20
Slovakia,6,6,6,6,6,8,13,14,17,17,18,18,20,23,23,24,25,25,25
Slovenia,61,61,61,61,61,61,77,77,80,81,82,83,86,91,92,94,97,98,99
Somalia,2,2,2,2,5,5,7,8,16,18,18,23,26,28,28,31,35,38,39
Spain,18579,18579,18579,18579,18708,19315,20852,21282,22524,22902,22902,23521,23822,24543,24543,25100,25428,25613,25857
Sudan,5,5,5,5,5,5,12,12,16,17,17,21,22,28,31,36,41,45,45
Suriname,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,1203,1203,1203,1203,1203,1333,1580,1765,2152,2192,2194,2274,2274,2586,2653,2669,2769,2854,2941
Switzerland,1221,1226,1226,1226,1239,1281,1429,1478,1578,1599,1607,1640,1677,1737,1737,1762,1784,1790,1795
Syria,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Thailand,43,43,43,43,43,46,47,48,50,51,51,52,54,54,54,54,54,54,55
Togo,3,3,3,3,3,5,6,6,6,6,6,6,6,9,9,9,9,9,9
Tunisia,34,34,34,34,35,37,38,38,38,38,38,38,39,40,41,41,42,43,43
Turkey,1403,1403,1403,1403,1518,1643,2140,2259,2491,2706,2706,2805,2900,3081,3174,3336,3461,3520,3584
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,108,108,108,108,108,116,151,161,193,201,209,220,239,261,272,279,303,316,327
Uruguay,8,8,8,8,8,9,10,11,12,12,14,15,15,15,17,17,17,17,17
Uzbekistan,4,4,4,4,4,4,5,6,8,8,8,8,8,9,9,9,10,10,10
Venezuela,9,9,9,9,9,9,9,10,10,10,10,10,10,10,16,10,10,10,10
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,5
Zambia,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4
Zimbabwe,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
